"country","iso2c","iso3c","year","IT.CEL.SETS"
"Uganda","UG","UGA",2023,37123400
"Uganda","UG","UGA",2022,33185200
"Uganda","UG","UGA",2021,30127700
"Uganda","UG","UGA",2020,27689000
"Uganda","UG","UGA",2019,25395500
"Uganda","UG","UGA",2018,24472000
"Uganda","UG","UGA",2017,24948900
"Uganda","UG","UGA",2016,22838500
"Uganda","UG","UGA",2015,20220300
"Uganda","UG","UGA",2014,20365900
"Uganda","UG","UGA",2013,18068600
"Uganda","UG","UGA",2012,16356400
"Uganda","UG","UGA",2011,16697000
"Uganda","UG","UGA",2010,12828300
"Uganda","UG","UGA",2009,9383730
"Uganda","UG","UGA",2008,8554860
"Uganda","UG","UGA",2007,4195280
"Uganda","UG","UGA",2006,2008820
"Uganda","UG","UGA",2005,1315300
"Uganda","UG","UGA",2004,1165040
"Uganda","UG","UGA",2003,776169
"Uganda","UG","UGA",2002,393310
"Uganda","UG","UGA",2001,283520
"Uganda","UG","UGA",2000,126913
