"country","iso2c","iso3c","year","BX.GSR.CCIS.ZS"
"Uganda","UG","UGA",2023,2.66313695721108
"Uganda","UG","UGA",2022,2.17849651679654
"Uganda","UG","UGA",2021,2.38907849829352
"Uganda","UG","UGA",2020,1.27204095351363
"Uganda","UG","UGA",2019,1.33755262067836
"Uganda","UG","UGA",2018,2.28450017587179
"Uganda","UG","UGA",2017,2.37683386368665
"Uganda","UG","UGA",2016,2.08541778982362
"Uganda","UG","UGA",2015,3.1704970095953
"Uganda","UG","UGA",2014,2.60838021624845
"Uganda","UG","UGA",2013,4.85582420517568
"Uganda","UG","UGA",2012,3.49565210396863
"Uganda","UG","UGA",2011,4.19087629511808
"Uganda","UG","UGA",2010,4.36137936664174
"Uganda","UG","UGA",2009,5.4238862946773
"Uganda","UG","UGA",2008,6.39195559800343
"Uganda","UG","UGA",2007,5.09366672110029
"Uganda","UG","UGA",2006,9.70182301246439
"Uganda","UG","UGA",2005,9.40677371974066
"Uganda","UG","UGA",2004,6.62367874129986
"Uganda","UG","UGA",2003,5.75136440555473
"Uganda","UG","UGA",2002,3.45531427967065
"Uganda","UG","UGA",2001,5.14935066176779
"Uganda","UG","UGA",2000,3.23639774859287
