"country","iso2c","iso3c","year","IT.NET.BBND"
"Uganda","UG","UGA",2023,44422
"Uganda","UG","UGA",2022,40256
"Uganda","UG","UGA",2021,38512
"Uganda","UG","UGA",2020,34596
"Uganda","UG","UGA",2019,32370
"Uganda","UG","UGA",2018,NA
"Uganda","UG","UGA",2017,NA
"Uganda","UG","UGA",2016,92115
"Uganda","UG","UGA",2015,80724
"Uganda","UG","UGA",2014,55198
"Uganda","UG","UGA",2013,41500
"Uganda","UG","UGA",2012,38400
"Uganda","UG","UGA",2011,35514
"Uganda","UG","UGA",2010,14000
"Uganda","UG","UGA",2009,6000
"Uganda","UG","UGA",2008,4798
"Uganda","UG","UGA",2007,1860
"Uganda","UG","UGA",2006,1210
"Uganda","UG","UGA",2005,850
"Uganda","UG","UGA",2004,NA
"Uganda","UG","UGA",2003,NA
"Uganda","UG","UGA",2002,NA
"Uganda","UG","UGA",2001,NA
"Uganda","UG","UGA",2000,NA
